Rank,Player,Club,Nationality,Stat,,
1,Alan Shearer ,-,England,260,,
2,Wayne Rooney ,Derby County ,England,208,,
3,Harry Kane ,Tottenham Hotspur ,England,192,,
4,Andrew Cole ,-,England,187,,
5,Sergio Ag?ero ,-,Argentina,184,,
6,Frank Lampard ,-,England,177,,
7,Thierry Henry ,-,France,175,,
8,Robbie Fowler ,-,England,163,,
9,Jermain Defoe ,-,England,162,,
10,Michael Owen ,-,England,150,,
11,Les Ferdinand ,-,England,149,,
12,Teddy Sheringham ,-,England,146,,
13,Robin van Persie ,Feyenoord ,Netherlands,144,,
14,Jamie Vardy ,Leicester City ,England,133,,
15,Jimmy Floyd Hasselbaink ,-,Netherlands,127,,
16,Robbie Keane ,-,Ireland,126,,
17,Nicolas Anelka ,-,France,125,,
18,Mohamed Salah ,Liverpool ,Egypt,123,,
18,Dwight Yorke ,-,Trinidad & Tobago,123,,
20,Romelu Lukaku ,Internazionale ,Belgium,121,,
,,,,,,
