Country,GDP ,Gini 
Afghanistan,516.7478708,
Albania,5332.160475,30.8
Algeria,3306.858208,
American Samoa,12844.90099,
Andorra,37416.69772,
Angola,1631.431691,51.3
Antigua and Barbuda,13992.74448,
Argentina,8585.694742,42.3
Armenia,4266.018074,25.2
Aruba,23384.29879,
Australia,51680.31652,34.3
Austria,48588.65938,30.2
Azerbaijan,4229.910649,
"Bahamas, The",24665.09683,
Bahrain,20406.50233,
Bangladesh,2270.347535,
Barbados,16318.74811,
Belarus,6555.426818,24.4
Belgium,45189.3669,27.2
Belize,3987.796596,
Benin,1291.040972,37.8
Bermuda,107706.0398,
Bhutan,3000.777986,37.4
Bolivia,3137.989617,43.6
Bosnia and Herzegovina,6082.36673,
Botswana,6348.832318,
Brazil,6814.875632,48.9
British Virgin Islands,,
Brunei Darussalam,27442.95383,
Bulgaria,10079.20338,40.3
Burkina Faso,857.9327297,47.3
Burundi,233.8375103,
Cabo Verde,3064.272388,
Cambodia,1547.511388,
Cameroon,1537.130218,
Canada,43258.26387,33.3
Cayman Islands,85346.76195,
Central African Republic,481.7462966,
Chad,652.3492096,37.5
Channel Islands,,
Chile,13220.57076,44.9
China,10408.66976,38.2
Colombia,5312.198556,54.2
Comoros,1407.40927,
"Congo, Rep.",1899.778237,
Costa Rica,12201.92603,49.3
Cote d'Ivoire,2325.723705,
Croatia,14132.48656,28.9
Cuba,9477.852873,
Curacao,16109.86167,
Cyprus,27681.56641,31.2
Czechia,22933.49959,25.3
Democratic Republic of the Congo,1899.778237,
Denmark,61063.31643,27.7
Djibouti,3219.701128,
Dominica,7003.859021,
Dominican Republic,7268.19691,39.6
Ecuador,5627.77228,47.3
"Egypt, Arab Rep.",3569.206841,31.5
El Salvador,3798.636521,38.8
Equatorial Guinea,7198.335884,
Eritrea,,
Estonia,23054.35849,30.8
Eswatini,3434.721798,
Ethiopia,936.4507576,
Faroe Islands,66320.6792,
Fiji,5102.843929,30.7
Finland,49160.83715,27.7
France,39037.12263,32.4
French Polynesia,20182.5845,
Gabon,6881.714225,38
"Gambia, The",757.4131116,
Georgia,4255.742993,34.5
Germany,46252.6893,31.7
Ghana,2254.153889,
Gibraltar,,
Greece,17647.23269,33.1
Greenland,54570.37502,
Grenada,9273.199292,
Guam,34624.34013,
Guatemala,4603.339643,
Guinea,1078.950006,29.6
Guinea-Bissau,727.5201717,34.8
Guyana,6955.939217,
Haiti,1272.367992,
Honduras,2405.732848,48.2
"Hong Kong SAR, China",46100.97587,
Hungary,16075.97327,30
Iceland,59264.03409,26.1
India,1933.101069,35.7
Indonesia,3870.55762,37.6
"Iran, Islamic Rep.",2756.749977,40.9
Iraq,4583.747494,
Ireland,85422.54287,30.6
Isle of Man,86481.55259,
Israel,44177.57122,38.6
Italy,31834.97262,35.2
Jamaica,4664.530242,
Japan,39918.16756,
Jordan,4282.765825,
Kazakhstan,9121.637138,27.8
Kenya,1872.124026,
Kiribati,1514.591059,27.8
Kosovo,4310.811183,29
Kuwait,24811.76971,
Kyrgyz Republic,1182.5217,29
Lao PDR,2608.982833,38.8
Latvia,17703.95344,34.5
Lebanon,3801.792743,
Lesotho,1050.631634,44.9
Liberia,601.0630058,
Libya,7614.325449,
Liechtenstein,169049.1569,
Lithuania,20232.30204,35.3
Luxembourg,116356.158,34.2
"Macao SAR, China",39403.13591,
Madagascar,477.6130414,
Malawi,636.2863096,38.5
Malaysia,10412.34767,
Maldives,6924.105745,29.3
Mali,862.453012,36.1
Malta,28946.46268,31
Marshall Islands,4129.850998,35.5
Mauritania,1702.486959,
Mauritius,8632.752859,36.8
Mexico,8431.665017,45.4
"Micronesia, Fed. Sts.",3542.969788,
Moldova,4525.759654,26
Monaco,173688.1894,
Mongolia,4060.950518,32.7
Montenegro,7694.633759,
Morocco,3058.69165,
Mozambique,448.8438914,
Myanmar,1450.662673,30.7
Namibia,4157.019506,
Nauru,10580.26819,
Nepal,1147.471971,
Netherlands,52396.03221,29.2
New Caledonia,34694.5504,
New Zealand,41596.5055,
Nicaragua,1900.043594,
Niger,567.6698923,37.3
Nigeria,2097.092473,35.1
North Korea,,
North Macedonia,5846.465899,33
Northern Mariana Islands,20659.64029,
Norway,67329.67779,27.7
Oman,14485.38612,
Pakistan,1359.514522,29.6
Palau,14243.86469,
Panama,12509.83529,49.8
Papua New Guinea,2757.011019,
Paraguay,4967.687212,43.5
Peru,6117.493571,43.8
Philippines,3301.218603,42.3
Poland,15742.45373,30.2
Portugal,22194.56611,32.8
Puerto Rico,31429.86612,
Qatar,50124.38594,
Romania,12956.56625,34.8
Russia,10161.98242,36
Rwanda,786.3018148,
Samoa,4068.078865,
San Marino,45515.7577,
Sao Tome and Principe,2157.840446,40.7
Saudi Arabia,20203.66888,
Senegal,1462.808169,38.1
Serbia,7730.691746,34.5
Seychelles,12193.88687,32.1
Sierra Leone,509.376594,35.7
Singapore,60729.45035,
Sint Maarten (Dutch part),,
Slovak Republic,19266.51357,23.2
Slovenia,25489.50023,24.4
Solomon Islands,2250.601164,
Somalia,438.2551656,36.8
South Africa,5655.867654,
South Korea,31597.50465,
South Sudan,,
Spain,27056.42175,34.3
Sri Lanka,3694.040948,
St. Kitts and Nevis,18440.85368,
St. Lucia,8804.561089,
St. Martin (French part),,
St. Vincent and the Grenadines,7860.821354,
Sudan,615.4620972,
Suriname,4916.605666,
Sweden,52300.2062,29.3
Switzerland,87100.41482,33.1
Syria,1265.60619,
Tajikistan,852.8309878,
Thailand,7158.766684,35
Timor-Leste,1442.730738,
Togo,914.9507925,42.4
Tonga,4624.823449,
Trinidad and Tobago,15285.94049,
Tunisia,3597.218525,
Turkey,8536.43332,41.9
Turkmenistan,7612.03518,
Turks and Caicos Islands,23879.92665,
Tuvalu,4668.818743,
Uganda,822.0276815,42.7
Ukraine,3751.740723,25.6
United Arab Emirates,36284.55524,26
United Kingdom,41098.07865,35.1
United Republic of Tanzania,1076.469727,40.5
United States of America,63027.67953,41.5
Uruguay,15418.81531,40.2
Uzbekistan,1749.655815,
Vanuatu,2919.8368,32.3
Venezuela,,
Vietnam,3526.274579,35.7
Virgin Islands (U.S.),39552.1686,
West Bank and Gaza,3233.568638,
"Yemen, Rep.",631.68149,
Zambia,985.132436,
Zimbabwe,1214.50982,50.3
