Year,Income quantile,Value
2008,Q1,36.0066
2009,Q1,36.7969
2011,Q1,47.1149
2012,Q1,51.7793
2013,Q1,55.1955
2014,Q1,59.7338
2015,Q1,61.8018
2016,Q1,67.0584
2017,Q1,69.9822
2018,Q1,73.7389
2019,Q1,76.5371
2008,Q2,47.4658
2009,Q2,54.7979
2011,Q2,65.0703
2012,Q2,68.0129
2013,Q2,71.0741
2014,Q2,75.6474
2015,Q2,77.4004
2016,Q2,81.454
2017,Q2,83.6601
2018,Q2,86.0898
2019,Q2,88.6407
2008,Q3,67.127
2009,Q3,70.9865
2011,Q3,80.2066
2012,Q3,83.4561
2013,Q3,85.9973
2014,Q3,89.4222
2015,Q3,89.8056
2016,Q3,91.7757
2017,Q3,93.6318
2018,Q3,94.7511
2019,Q3,96.0364
2008,Q4,84.43
2009,Q4,87.3311
2011,Q4,91.8469
2012,Q4,92.7145
2013,Q4,94.8472
2014,Q4,96.7784
2015,Q4,96.9971
2016,Q4,97.7205
2017,Q4,97.9577
2018,Q4,98.3469
2019,Q4,98.7785
