IMF Credit Outstanding  for all members from 1984 - 2022,,
(in SDRs),,
Totals,Year,
109023819611,2022,
104029375706,2021,
105890446969,2020,
73536345315,2019,
61821792421,2018,
46107666542,2017,
55750278788,2016,
57333751899,2015,
75334319046,2014,
90073641743,2013,
95808640755,2012,
92585525384,2011,
60439448644,2010,
42300847722,2009,
21487336753,2008,
9833092338,2007,
13666660759,2006,
34714264905,2005,
62139796027,2004,
71912955980,2003,
70469729806,2002,
59901804093,2001,
49322126517,2000,
57496136237,1999,
66739842976,1998,
52568901205,1997,
42009082557,1996,
41586611940,1995,
30211445450,1994,
29139537930,1993,
27771636514,1992,
26664291722,1991,
23303762710,1990,
24649990786,1989,
26523969177,1988,
30618322055,1987,
35348075575,1986,
37665035197,1985,
37706647293,1984,
,,
,,
,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,
,,
 2/ Formerly PRGF-ESF.,,
