,Rank,Player,Club,Nationality,Stat
0,1.0,Alan Shearer,-,England,260
1,2.0,Wayne Rooney,Derby County,England,208
2,3.0,Harry Kane,Tottenham Hotspur,England,192
3,4.0,Andrew Cole,-,England,187
4,5.0,Sergio AgÃ¼ero,-,Argentina,184
5,6.0,Frank Lampard,-,England,177
6,7.0,Thierry Henry,-,France,175
7,8.0,Robbie Fowler,-,England,163
8,9.0,Jermain Defoe,-,England,162
9,10.0,Michael Owen,-,England,150
10,11.0,Les Ferdinand,-,England,149
11,12.0,Teddy Sheringham,-,England,146
12,13.0,Robin van Persie,Feyenoord,Netherlands,144
13,14.0,Jamie Vardy,Leicester City,England,133
14,15.0,Jimmy Floyd Hasselbaink,-,Netherlands,127
15,16.0,Robbie Keane,-,Ireland,126
16,17.0,Nicolas Anelka,-,France,125
17,18.0,Mohamed Salah,Liverpool,Egypt,123
18,18.0,Dwight Yorke,-,Trinidad & Tobago,123
19,20.0,Romelu Lukaku,Internazionale,Belgium,121,Rank,Player,Club,Nationality,Stat
0,1.0,Alan Shearer,-,England,260
1,2.0,Wayne Rooney,Derby County,England,208
2,3.0,Harry Kane,Tottenham Hotspur,England,192
3,4.0,Andrew Cole,-,England,187
4,5.0,Sergio AgÃ¼ero,-,Argentina,184
5,6.0,Frank Lampard,-,England,177
6,7.0,Thierry Henry,-,France,175
7,8.0,Robbie Fowler,-,England,163
8,9.0,Jermain Defoe,-,England,162
9,10.0,Michael Owen,-,England,150
10,11.0,Les Ferdinand,-,England,149
11,12.0,Teddy Sheringham,-,England,146
12,13.0,Robin van Persie,Feyenoord,Netherlands,144
13,14.0,Jamie Vardy,Leicester City,England,133
14,15.0,Jimmy Floyd Hasselbaink,-,Netherlands,127
15,16.0,Robbie Keane,-,Ireland,126
16,17.0,Nicolas Anelka,-,France,125
17,18.0,Mohamed Salah,Liverpool,Egypt,123
18,18.0,Dwight Yorke,-,Trinidad & Tobago,123
19,20.0,Romelu Lukaku,Internazionale,Belgium,121
