Country,Year,Value
Korea,1960,158.2493033
Korea,1961,93.82864905
Korea,1962,106.1485057
Korea,1963,146.3143419
Korea,1964,123.6034948
Korea,1965,108.7221312
Korea,1966,133.4748485
Korea,1967,161.159931
Korea,1968,198.431298
Korea,1969,243.4224129
Korea,1970,279.3049689
Korea,1971,301.1765677
Korea,1972,324.1962768
Korea,1973,406.8988301
Korea,1974,563.3559578
Korea,1975,617.4560619
Korea,1976,834.134208
Korea,1977,1055.880041
Korea,1978,1405.822374
Korea,1979,1783.622313
Korea,1980,1715.42946
Korea,1981,1883.451279
Korea,1982,1992.528225
Korea,1983,2198.934472
Korea,1984,2413.263925
Korea,1985,2482.399956
Korea,1986,2834.903848
Korea,1987,3554.595206
Korea,1988,4748.629608
Korea,1989,5817.029181
Korea,1990,6610.036508
Korea,1991,7636.982429
Korea,1992,8126.67039
Korea,1993,8884.928319
Korea,1994,10385.33617
Korea,1995,12564.77813
Korea,1996,13403.04959
Korea,1997,12398.48003
Korea,1998,8281.699982
Korea,1999,10672.41793
Korea,2000,12256.99357
Korea,2001,11561.24837
Korea,2002,13165.06574
Korea,2003,14672.85747
Korea,2004,16496.12009
Korea,2005,19402.50263
Korea,2006,21743.47745
Korea,2007,24086.41044
Korea,2008,21350.42798
Korea,2009,19143.85161
Korea,2010,23087.22564
Korea,2011,25096.26388
Korea,2012,25466.76052
Korea,2013,27182.73431
Korea,2014,29249.57522
Korea,2015,28732.23108
Korea,2016,29288.87044
Korea,2017,31616.8434
Korea,2018,33436.92306
Korea,2019,31902.4169
Korea,2020,31597.50465
Korea,2021,34757.72007
Philippines,1960,286.1043301
Philippines,1961,300.8420416
Philippines,1962,176.4600348
Philippines,1963,189.746866
Philippines,1964,198.7325697
Philippines,1965,210.8477965
Philippines,1966,225.6144365
Philippines,1967,235.3424627
Philippines,1968,255.4430364
Philippines,1969,275.1599962
Philippines,1970,211.1290884
Philippines,1971,227.2770483
Philippines,1972,239.1102216
Philippines,1973,292.4555135
Philippines,1974,388.7935401
Philippines,1975,408.7425894
Philippines,1976,456.5953187
Philippines,1977,510.7376538
Philippines,1978,574.5528125
Philippines,1979,677.4872734
Philippines,1980,778.0827803
Philippines,1981,832.0790958
Philippines,1982,843.7225959
Philippines,1983,734.4881978
Philippines,1984,676.3619165
Philippines,1985,644.146048
Philippines,1986,609.5770431
Philippines,1987,659.9530529
Philippines,1988,733.9412969
Philippines,1989,803.9959945
Philippines,1990,816.0295457
Philippines,1991,816.0804127
Philippines,1992,929.2862821
Philippines,1993,931.5661269
Philippines,1994,1073.017568
Philippines,1995,1212.944437
Philippines,1996,1325.571064
Philippines,1997,1288.580731
Philippines,1998,997.5936933
Philippines,1999,1122.032017
Philippines,2000,1072.801752
Philippines,2001,990.5659913
Philippines,2002,1036.158331
Philippines,2003,1048.008205
Philippines,2004,1121.490006
Philippines,2005,1244.348741
Philippines,2006,1452.438089
Philippines,2007,1744.639979
Philippines,2008,1998.02692
Philippines,2009,1904.196388
Philippines,2010,2217.472153
Philippines,2011,2450.735694
Philippines,2012,2694.305109
Philippines,2013,2871.429701
Philippines,2014,2959.645435
Philippines,2015,3001.043182
Philippines,2016,3073.654686
Philippines,2017,3123.245642
Philippines,2018,3252.110274
Philippines,2019,3485.340844
Philippines,2020,3301.218603
Philippines,2021,3548.828323
